60029,Tom 60029,Thomson60029,No,None,Auckland,NULL,60029,Retail
60030,Tom 60030,Thomson60030,Yes,No,Rest of North Island,2015-10-12 08:00:00.000,60030,Banking
60031,Steven 60031,Williams60031,Yes,No,Rest of North Island,2016-12-13 08:00:00.000,60031,Healthcare
60032,John 60032,Dong60032,No,None,Auckland,NULL,60032,Retail
60033,Tom 60033,Thomson60033,Yes,Yes,South Island,2016-03-29 08:00:00.000,60033,Insurance
60034,Bella 60034,Smith60034,Yes,No,Auckland,2015-05-14 08:00:00.000,60034,Pharmaceutical Products
60035,Stephan 60035,Walker60035,Yes,No,Auckland,2016-08-07 08:00:00.000,60035,Computers
60036,John 60036,Dong60036,Yes,Yes,Rest of North Island,2016-01-08 08:00:00.000,60036,Computers
60037,Steven 60037,Williams60037,Yes,No,Rest of North Island,2016-05-25 08:00:00.000,60037,Shipping Containers
60038,Stephan 60038,Walker60038,No,None,South Island,NULL,60038,Computers
60039,Tom 60039,Thomson60039,Yes,No,Auckland,2016-10-07 08:00:00.000,60039,Real Estate
60040,John 60040,Dong60040,No,None,Auckland,NULL,60040,Tax Agent
60041,Nelson Century 60041,Clark60041,Yes,No,Rest of North Island,2016-10-25 08:00:00.000,60041,Retail
60042,Steven 60042,Williams60042,Yes,No,Rest of North Island,2015-03-19 08:00:00.000,60042,Entertainment
60043,Tracy60043,Thomas60043,No,None,Rest of North Island,NULL,60043,Insurance
60044,Nelson Century 60044,Clark60044,No,None,Auckland,NULL,60044,Healthcare
60045,Helen Park 60045,Davis60045,Yes,No,Auckland,2015-03-25 08:00:00.000,60045,Shipping Containers
60046,Tom 60046,Thomson60046,Yes,Yes,Auckland,2016-07-23 08:00:00.000,60046,Real Estate
60047,Bella 60047,Smith60047,No,None,Rest of North Island,NULL,60047,Real Estate
60048,Jackie Sales 60048,Taylor60048,Yes,No,Auckland,2015-10-26 08:00:00.000,60048,Banking
60049,Tracy60049,Thomas60049,Yes,No,South Island,2015-08-19 08:00:00.000,60049,Entertainment
60050,Steven 60050,Williams60050,No,None,Rest of North Island,NULL,60050,Insurance
60051,Helen Park 60051,Davis60051,Yes,No,Rest of North Island,2015-04-23 08:00:00.000,60051,Tax Agent
60052,Bella 60052,Smith60052,Yes,No,Auckland,2015-11-12 08:00:00.000,60052,Banking
60053,Nelson Century 60053,Clark60053,Yes,No,Auckland,2016-03-02 08:00:00.000,60053,Real Estate
60054,Tracy60054,Thomas60054,No,None,South Island,NULL,60054,Tax Agent
60055,Tracy60055,Thomas60055,Yes,Yes,South Island,2016-04-26 08:00:00.000,60055,Insurance
60056,Stephan 60056,Walker60056,Yes,Yes,Auckland,2016-06-11 08:00:00.000,60056,Retail
60057,John 60057,Dong60057,Yes,Yes,South Island,2015-03-02 08:00:00.000,60057,Insurance
60058,Kelvin 60058,Burn60058,Yes,Yes,Auckland,2015-03-20 08:00:00.000,60058,Pharmaceutical Products
60059,Jackie Sales 60059,Taylor60059,Yes,No,Auckland,2015-07-22 08:00:00.000,60059,Retail
60060,Stephan 60060,Walker60060,No,None,South Island,NULL,60060,Insurance
60061,Bella 60061,Smith60061,No,None,Auckland,NULL,60061,Banking
60062,Jackie Sales 60062,Taylor60062,No,None,South Island,NULL,60062,Entertainment
60063,Helen Park 60063,Davis60063,Yes,No,Auckland,2015-05-21 08:00:00.000,60063,Entertainment
60064,Steven 60064,Williams60064,No,None,Rest of North Island,NULL,60064,Tax Agent
60065,Helen Park 60065,Davis60065,No,None,Rest of North Island,NULL,60065,Insurance
60066,Tracy60066,Thomas60066,Yes,No,Rest of North Island,2015-07-24 08:00:00.000,60066,Tax Agent
60067,Helen Park 60067,Davis60067,Yes,No,Auckland,2015-01-03 08:00:00.000,60067,Entertainment
60068,Tom 60068,Thomson60068,Yes,No,South Island,2016-12-15 08:00:00.000,60068,Tax Agent
60069,Tom 60069,Thomson60069,Yes,No,Auckland,2016-06-21 08:00:00.000,60069,Pharmaceutical Products
60070,Tracy60070,Thomas60070,Yes,Yes,South Island,2016-09-19 08:00:00.000,60070,Insurance
60071,Bella 60071,Smith60071,No,None,Rest of North Island,NULL,60071,Insurance
60072,Steven 60072,Williams60072,No,None,Rest of North Island,NULL,60072,Pharmaceutical Products
60073,John 60073,Dong60073,Yes,No,Auckland,2016-12-05 08:00:00.000,60073,Entertainment
60074,John 60074,Dong60074,No,None,Auckland,NULL,60074,Pharmaceutical Products
60075,Tom 60075,Thomson60075,Yes,Yes,Rest of North Island,2015-01-12 08:00:00.000,60075,Banking
60076,Steven 60076,Williams60076,No,None,South Island,NULL,60076,Shipping Containers
60077,Tom 60077,Thomson60077,No,None,Rest of North Island,NULL,60077,Shipping Containers
60078,Bella 60078,Smith60078,Yes,No,Auckland,2015-01-17 08:00:00.000,60078,Pharmaceutical Products
60079,Jackie Sales 60079,Taylor60079,No,None,Rest of North Island,NULL,60079,Retail
60080,Nelson Century 60080,Clark60080,No,None,Rest of North Island,NULL,60080,Tax Agent
60081,Jackie Sales 60081,Taylor60081,Yes,Yes,Rest of North Island,2015-06-19 08:00:00.000,60081,Retail
60082,Nelson Century 60082,Clark60082,No,None,Rest of North Island,NULL,60082,Entertainment
60083,Steven 60083,Williams60083,No,None,Auckland,NULL,60083,Healthcare
60084,John 60084,Dong60084,Yes,No,Rest of North Island,2015-06-19 08:00:00.000,60084,Retail
60085,Stephan 60085,Walker60085,No,None,Rest of North Island,NULL,60085,Healthcare
60086,Tracy60086,Thomas60086,Yes,No,South Island,2015-04-27 08:00:00.000,60086,Pharmaceutical Products
60087,Stephan 60087,Walker60087,No,None,Auckland,NULL,60087,Healthcare
60088,Kelvin 60088,Burn60088,No,None,Auckland,NULL,60088,Real Estate
60089,Jackie Sales 60089,Taylor60089,No,None,Auckland,NULL,60089,Pharmaceutical Products
60090,Kelvin 60090,Burn60090,No,None,South Island,NULL,60090,Retail
60091,Tom 60091,Thomson60091,No,None,Auckland,NULL,60091,Banking
60092,Stephan 60092,Walker60092,No,None,South Island,NULL,60092,Pharmaceutical Products
60093,Steven 60093,Williams60093,No,None,South Island,NULL,60093,Entertainment
60094,Steven 60094,Williams60094,No,None,South Island,NULL,60094,Retail
60095,Stephan 60095,Walker60095,No,None,Auckland,NULL,60095,Healthcare
60096,Helen Park 60096,Davis60096,No,None,South Island,NULL,60096,Real Estate
60097,John 60097,Dong60097,Yes,No,Auckland,2015-09-07 08:00:00.000,60097,Real Estate
60098,Tracy60098,Thomas60098,No,None,Rest of North Island,NULL,60098,Insurance
60099,John 60099,Dong60099,Yes,Yes,South Island,2015-11-11 08:00:00.000,60099,Computers
60100,Bella 60100,Smith60100,Yes,No,Rest of North Island,2015-04-30 08:00:00.000,60100,Entertainment
60101,Jackie Sales 60101,Taylor60101,No,None,Rest of North Island,NULL,60101,Tax Agent
60102,Jackie Sales 60102,Taylor60102,No,None,Auckland,NULL,60102,Shipping Containers
60103,Nelson Century 60103,Clark60103,Yes,Yes,South Island,2015-07-10 08:00:00.000,60103,Retail
60104,Tracy60104,Thomas60104,Yes,No,Rest of North Island,2016-06-15 08:00:00.000,60104,Tax Agent
60105,Tom 60105,Thomson60105,Yes,Yes,Auckland,2015-12-05 08:00:00.000,60105,Shipping Containers
60106,Tracy60106,Thomas60106,No,None,Auckland,NULL,60106,Tax Agent
60107,Tracy60107,Thomas60107,No,None,South Island,NULL,60107,Banking
60108,Jackie Sales 60108,Taylor60108,No,None,South Island,NULL,60108,Shipping Containers
60109,John 60109,Dong60109,No,None,Auckland,NULL,60109,Tax Agent
60110,Tracy60110,Thomas60110,Yes,No,South Island,2016-11-21 08:00:00.000,60110,Tax Agent
60111,Tracy60111,Thomas60111,Yes,No,Auckland,2016-04-30 08:00:00.000,60111,Shipping Containers
60112,Kelvin 60112,Burn60112,Yes,No,South Island,2016-09-17 08:00:00.000,60112,Entertainment
60113,Kelvin 60113,Burn60113,Yes,No,South Island,2016-12-13 08:00:00.000,60113,Banking
60114,Tom 60114,Thomson60114,No,None,Auckland,NULL,60114,Healthcare
60115,Tracy60115,Thomas60115,No,None,South Island,NULL,60115,Banking
60116,Kelvin 60116,Burn60116,Yes,Yes,Auckland,2016-10-11 08:00:00.000,60116,Insurance
60117,Stephan 60117,Walker60117,No,None,Rest of North Island,NULL,60117,Banking
60118,Bella 60118,Smith60118,Yes,No,Rest of North Island,2015-11-27 08:00:00.000,60118,Shipping Containers
60119,Tom 60119,Thomson60119,Yes,No,Rest of North Island,2016-07-02 08:00:00.000,60119,Healthcare
60120,John 60120,Dong60120,No,None,Rest of North Island,NULL,60120,Computers
60121,Nelson Century 60121,Clark60121,No,None,Auckland,NULL,60121,Insurance
60122,Kelvin 60122,Burn60122,No,None,South Island,NULL,60122,Computers
60123,Tracy60123,Thomas60123,No,None,Rest of North Island,NULL,60123,Banking
60124,Bella 60124,Smith60124,No,None,South Island,NULL,60124,Healthcare
60125,Steven 60125,Williams60125,Yes,No,South Island,2015-04-25 08:00:00.000,60125,Pharmaceutical Products
60126,John 60126,Dong60126,No,None,Rest of North Island,NULL,60126,Real Estate
60127,Tracy60127,Thomas60127,No,None,South Island,NULL,60127,Tax Agent
60128,Bella 60128,Smith60128,No,None,Auckland,NULL,60128,Healthcare
60129,Stephan 60129,Walker60129,No,None,Rest of North Island,NULL,60129,Retail
60130,Jackie Sales 60130,Taylor60130,Yes,No,South Island,2016-11-16 08:00:00.000,60130,Computers
60131,Nelson Century 60131,Clark60131,Yes,No,South Island,2016-09-19 08:00:00.000,60131,Healthcare
60132,Nelson Century 60132,Clark60132,No,None,South Island,NULL,60132,Healthcare
60133,Jackie Sales 60133,Taylor60133,No,None,Auckland,NULL,60133,Entertainment
60134,Bella 60134,Smith60134,No,None,Rest of North Island,NULL,60134,Retail
60135,Tom 60135,Thomson60135,No,None,Auckland,NULL,60135,Entertainment
60136,Nelson Century 60136,Clark60136,No,None,Rest of North Island,NULL,60136,Real Estate
60137,Tom 60137,Thomson60137,Yes,Yes,South Island,2016-02-05 08:00:00.000,60137,Pharmaceutical Products
60138,Tracy60138,Thomas60138,Yes,No,South Island,2015-11-02 08:00:00.000,60138,Real Estate
60139,Tom 60139,Thomson60139,No,None,Auckland,NULL,60139,Retail
60140,Helen Park 60140,Davis60140,No,None,Rest of North Island,NULL,60140,Pharmaceutical Products
60141,John 60141,Dong60141,Yes,Yes,Rest of North Island,2015-06-10 08:00:00.000,60141,Shipping Containers
60142,Stephan 60142,Walker60142,Yes,Yes,South Island,2016-05-07 08:00:00.000,60142,Shipping Containers
60143,Nelson Century 60143,Clark60143,No,None,Rest of North Island,NULL,60143,Pharmaceutical Products
60144,Jackie Sales 60144,Taylor60144,No,None,South Island,NULL,60144,Real Estate
60145,Kelvin 60145,Burn60145,No,None,Auckland,NULL,60145,Pharmaceutical Products
60146,Helen Park 60146,Davis60146,Yes,Yes,Rest of North Island,2016-12-20 08:00:00.000,60146,Retail
60147,Bella 60147,Smith60147,No,None,Auckland,NULL,60147,Real Estate
60148,Helen Park 60148,Davis60148,No,None,South Island,NULL,60148,Healthcare
60149,Steven 60149,Williams60149,Yes,No,Auckland,2016-07-20 08:00:00.000,60149,Insurance
60150,Helen Park 60150,Davis60150,Yes,Yes,Rest of North Island,2015-04-19 08:00:00.000,60150,Computers
60151,Tracy60151,Thomas60151,Yes,No,Auckland,2015-06-27 08:00:00.000,60151,Entertainment
60152,John 60152,Dong60152,No,None,Auckland,NULL,60152,Retail
60153,John 60153,Dong60153,Yes,Yes,Auckland,2016-05-20 08:00:00.000,60153,Entertainment
60154,Steven 60154,Williams60154,Yes,Yes,Auckland,2016-06-24 08:00:00.000,60154,Computers
60155,Tom 60155,Thomson60155,No,None,South Island,NULL,60155,Healthcare
60156,Tracy60156,Thomas60156,Yes,No,Rest of North Island,2016-01-06 08:00:00.000,60156,Computers
60157,John 60157,Dong60157,Yes,Yes,Auckland,2015-05-01 08:00:00.000,60157,Retail
60158,Bella 60158,Smith60158,Yes,No,Auckland,2016-04-08 08:00:00.000,60158,Computers
60159,John 60159,Dong60159,No,None,Rest of North Island,NULL,60159,Entertainment
60160,Stephan 60160,Walker60160,Yes,No,Rest of North Island,2015-01-06 08:00:00.000,60160,Tax Agent
60161,Stephan 60161,Walker60161,No,None,Rest of North Island,NULL,60161,Pharmaceutical Products
60162,Tracy60162,Thomas60162,Yes,No,Auckland,2016-10-08 08:00:00.000,60162,Real Estate
60163,Tom 60163,Thomson60163,Yes,Yes,Auckland,2016-10-11 08:00:00.000,60163,Pharmaceutical Products
60164,Stephan 60164,Walker60164,No,None,Auckland,NULL,60164,Real Estate
60165,Tracy60165,Thomas60165,No,None,South Island,NULL,60165,Tax Agent
60166,Jackie Sales 60166,Taylor60166,Yes,No,Rest of North Island,2016-11-24 08:00:00.000,60166,Retail
60167,Nelson Century 60167,Clark60167,Yes,No,Rest of North Island,2016-01-30 08:00:00.000,60167,Insurance
60168,Bella 60168,Smith60168,Yes,Yes,Auckland,2016-10-19 08:00:00.000,60168,Pharmaceutical Products
60169,Bella 60169,Smith60169,Yes,Yes,South Island,2015-07-02 08:00:00.000,60169,Shipping Containers
60170,Tracy60170,Thomas60170,No,None,Rest of North Island,NULL,60170,Insurance
60171,Tom 60171,Thomson60171,No,None,Rest of North Island,NULL,60171,Real Estate
60172,John 60172,Dong60172,Yes,No,South Island,2015-02-26 08:00:00.000,60172,Tax Agent
60173,Jackie Sales 60173,Taylor60173,No,None,South Island,NULL,60173,Retail
60174,John 60174,Dong60174,Yes,No,Auckland,2016-09-03 08:00:00.000,60174,Shipping Containers
60175,Helen Park 60175,Davis60175,Yes,Yes,Rest of North Island,2016-08-17 08:00:00.000,60175,Retail
60176,Helen Park 60176,Davis60176,No,None,South Island,NULL,60176,Retail
60177,Nelson Century 60177,Clark60177,No,None,South Island,NULL,60177,Banking
60178,Steven 60178,Williams60178,Yes,No,Auckland,2016-02-11 08:00:00.000,60178,Banking
60179,Steven 60179,Williams60179,No,None,Rest of North Island,NULL,60179,Pharmaceutical Products
60180,Helen Park 60180,Davis60180,No,None,South Island,NULL,60180,Real Estate
60181,Tracy60181,Thomas60181,Yes,No,South Island,2015-06-18 08:00:00.000,60181,Tax Agent
60182,Tracy60182,Thomas60182,Yes,Yes,South Island,2015-11-05 08:00:00.000,60182,Retail
60183,Kelvin 60183,Burn60183,No,None,Auckland,NULL,60183,Banking
60184,Tom 60184,Thomson60184,No,None,Rest of North Island,NULL,60184,Tax Agent
60185,Bella 60185,Smith60185,No,None,South Island,NULL,60185,Entertainment
60186,Jackie Sales 60186,Taylor60186,Yes,Yes,Rest of North Island,2015-06-23 08:00:00.000,60186,Healthcare
60187,Tracy60187,Thomas60187,Yes,Yes,South Island,2016-03-06 08:00:00.000,60187,Banking
60188,Kelvin 60188,Burn60188,Yes,No,Auckland,2016-09-15 08:00:00.000,60188,Insurance
60189,Stephan 60189,Walker60189,No,None,Rest of North Island,NULL,60189,Pharmaceutical Products
60190,Tracy60190,Thomas60190,No,None,Auckland,NULL,60190,Tax Agent
60191,Kelvin 60191,Burn60191,No,None,South Island,NULL,60191,Retail
60192,Helen Park 60192,Davis60192,Yes,Yes,Auckland,2015-06-06 08:00:00.000,60192,Entertainment
60193,John 60193,Dong60193,Yes,Yes,Rest of North Island,2016-10-09 08:00:00.000,60193,Entertainment
60194,John 60194,Dong60194,No,None,South Island,NULL,60194,Pharmaceutical Products
60195,Kelvin 60195,Burn60195,No,None,Auckland,NULL,60195,Insurance
60196,John 60196,Dong60196,Yes,No,Rest of North Island,2016-09-02 08:00:00.000,60196,Healthcare
60197,Steven 60197,Williams60197,Yes,Yes,Auckland,2015-07-14 08:00:00.000,60197,Computers
60198,Tom 60198,Thomson60198,No,None,South Island,NULL,60198,Pharmaceutical Products
60199,Tom 60199,Thomson60199,No,None,Auckland,NULL,60199,Insurance
60200,Jackie Sales 60200,Taylor60200,No,None,Rest of North Island,NULL,60200,Tax Agent
60201,Jackie Sales 60201,Taylor60201,No,None,South Island,NULL,60201,Tax Agent
60202,Nelson Century 60202,Clark60202,Yes,Yes,Auckland,2015-01-20 08:00:00.000,60202,Shipping Containers
60203,Nelson Century 60203,Clark60203,Yes,Yes,Rest of North Island,2015-09-17 08:00:00.000,60203,Computers
60204,John 60204,Dong60204,No,None,Auckland,NULL,60204,Tax Agent
60205,Nelson Century 60205,Clark60205,Yes,Yes,Rest of North Island,2015-04-17 08:00:00.000,60205,Pharmaceutical Products
60206,Bella 60206,Smith60206,No,None,Rest of North Island,NULL,60206,Shipping Containers
60207,Tracy60207,Thomas60207,No,None,South Island,NULL,60207,Pharmaceutical Products
60208,John 60208,Dong60208,Yes,Yes,South Island,2016-03-20 08:00:00.000,60208,Retail
60209,Nelson Century 60209,Clark60209,No,None,Auckland,NULL,60209,Real Estate
60210,Kelvin 60210,Burn60210,No,None,Rest of North Island,NULL,60210,Computers
60211,John 60211,Dong60211,No,None,Rest of North Island,NULL,60211,Healthcare
60212,Nelson Century 60212,Clark60212,No,None,Auckland,NULL,60212,Banking
60213,Helen Park 60213,Davis60213,No,None,Rest of North Island,NULL,60213,Entertainment
60214,Stephan 60214,Walker60214,No,None,Auckland,NULL,60214,Entertainment
60215,Tracy60215,Thomas60215,Yes,No,South Island,2015-11-30 08:00:00.000,60215,Shipping Containers
60216,Stephan 60216,Walker60216,No,None,Auckland,NULL,60216,Computers
60217,Tracy60217,Thomas60217,No,None,Rest of North Island,NULL,60217,Healthcare
60218,Helen Park 60218,Davis60218,Yes,No,South Island,2016-05-20 08:00:00.000,60218,Retail
60219,Steven 60219,Williams60219,No,None,South Island,NULL,60219,Entertainment
60220,Steven 60220,Williams60220,No,None,Rest of North Island,NULL,60220,Insurance
60221,Jackie Sales 60221,Taylor60221,No,None,Rest of North Island,NULL,60221,Pharmaceutical Products
60222,Helen Park 60222,Davis60222,Yes,No,Auckland,2016-12-03 08:00:00.000,60222,Entertainment
60223,Stephan 60223,Walker60223,Yes,Yes,Rest of North Island,2015-03-03 08:00:00.000,60223,Shipping Containers
60224,Bella 60224,Smith60224,No,None,South Island,NULL,60224,Insurance
60225,Jackie Sales 60225,Taylor60225,No,None,Rest of North Island,NULL,60225,Banking
60226,Bella 60226,Smith60226,Yes,No,Auckland,2016-11-10 08:00:00.000,60226,Pharmaceutical Products
60227,Tom 60227,Thomson60227,No,None,South Island,NULL,60227,Computers
60228,Stephan 60228,Walker60228,No,None,South Island,NULL,60228,Tax Agent
60229,Stephan 60229,Walker60229,No,None,Auckland,NULL,60229,Tax Agent
60230,Nelson Century 60230,Clark60230,No,None,Auckland,NULL,60230,Banking
60231,Kelvin 60231,Burn60231,No,None,South Island,NULL,60231,Computers
60232,Stephan 60232,Walker60232,Yes,No,South Island,2017-01-01 08:00:00.000,60232,Real Estate
60233,Tracy60233,Thomas60233,No,None,Rest of North Island,NULL,60233,Retail
60234,Bella 60234,Smith60234,No,None,Rest of North Island,NULL,60234,Entertainment
60235,Jackie Sales 60235,Taylor60235,No,None,Rest of North Island,NULL,60235,Tax Agent
60236,Helen Park 60236,Davis60236,No,None,Auckland,NULL,60236,Shipping Containers
60237,Kelvin 60237,Burn60237,Yes,No,Auckland,2015-11-13 08:00:00.000,60237,Insurance
60238,Kelvin 60238,Burn60238,Yes,No,Auckland,2015-01-18 08:00:00.000,60238,Pharmaceutical Products
60239,Steven 60239,Williams60239,Yes,Yes,Auckland,2015-03-20 08:00:00.000,60239,Computers
60240,Kelvin 60240,Burn60240,No,None,Rest of North Island,NULL,60240,Tax Agent
60241,Stephan 60241,Walker60241,No,None,Rest of North Island,NULL,60241,Shipping Containers
60242,Steven 60242,Williams60242,Yes,Yes,South Island,2016-10-28 08:00:00.000,60242,Entertainment
60243,Tom 60243,Thomson60243,No,None,Rest of North Island,NULL,60243,Shipping Containers
60244,Nelson Century 60244,Clark60244,Yes,Yes,South Island,2015-03-16 08:00:00.000,60244,Real Estate
60245,John 60245,Dong60245,No,None,South Island,NULL,60245,Insurance
60246,Helen Park 60246,Davis60246,Yes,Yes,South Island,2016-08-01 08:00:00.000,60246,Insurance
60247,Nelson Century 60247,Clark60247,Yes,Yes,Auckland,2015-12-22 08:00:00.000,60247,Healthcare
60248,Stephan 60248,Walker60248,No,None,Rest of North Island,NULL,60248,Real Estate
60249,Helen Park 60249,Davis60249,No,None,South Island,NULL,60249,Real Estate
60250,Kelvin 60250,Burn60250,Yes,No,Rest of North Island,2016-11-16 08:00:00.000,60250,Healthcare
60251,Steven 60251,Williams60251,Yes,No,Rest of North Island,2016-02-15 08:00:00.000,60251,Shipping Containers
60252,Stephan 60252,Walker60252,No,None,Auckland,NULL,60252,Banking
60253,Nelson Century 60253,Clark60253,Yes,Yes,Rest of North Island,2015-08-24 08:00:00.000,60253,Tax Agent
60254,Tom 60254,Thomson60254,Yes,Yes,South Island,2015-01-13 08:00:00.000,60254,Banking
60255,Helen Park 60255,Davis60255,No,None,South Island,NULL,60255,Banking
60256,Kelvin 60256,Burn60256,Yes,No,South Island,2016-05-21 08:00:00.000,60256,Banking
60257,Bella 60257,Smith60257,Yes,No,Auckland,2015-10-12 08:00:00.000,60257,Real Estate
60258,Stephan 60258,Walker60258,No,None,South Island,NULL,60258,Entertainment
60259,Steven 60259,Williams60259,No,None,Rest of North Island,NULL,60259,Real Estate
60260,Nelson Century 60260,Clark60260,Yes,Yes,South Island,2015-10-06 08:00:00.000,60260,Tax Agent
60261,Nelson Century 60261,Clark60261,Yes,Yes,South Island,2015-03-09 08:00:00.000,60261,Banking
60262,Steven 60262,Williams60262,Yes,Yes,Auckland,2016-08-18 08:00:00.000,60262,Insurance
60263,Stephan 60263,Walker60263,Yes,Yes,South Island,2015-11-04 08:00:00.000,60263,Retail
60264,Tracy60264,Thomas60264,No,None,Auckland,NULL,60264,Insurance
60265,John 60265,Dong60265,No,None,South Island,NULL,60265,Tax Agent
60266,Helen Park 60266,Davis60266,Yes,Yes,Rest of North Island,2016-01-18 08:00:00.000,60266,Shipping Containers
60267,Stephan 60267,Walker60267,Yes,No,Auckland,2015-02-15 08:00:00.000,60267,Entertainment
60268,Bella 60268,Smith60268,No,None,Rest of North Island,NULL,60268,Banking
60269,Stephan 60269,Walker60269,No,None,South Island,NULL,60269,Tax Agent
60270,Kelvin 60270,Burn60270,Yes,No,Auckland,2016-02-04 08:00:00.000,60270,Real Estate
60271,Steven 60271,Williams60271,No,None,Rest of North Island,NULL,60271,Tax Agent
60272,John 60272,Dong60272,No,None,Auckland,NULL,60272,Pharmaceutical Products
60273,Jackie Sales 60273,Taylor60273,No,None,South Island,NULL,60273,Pharmaceutical Products
60274,Jackie Sales 60274,Taylor60274,Yes,No,Rest of North Island,2015-08-18 08:00:00.000,60274,Healthcare
60275,Tom 60275,Thomson60275,Yes,No,South Island,2016-12-16 08:00:00.000,60275,Pharmaceutical Products
60276,Steven 60276,Williams60276,No,None,Auckland,NULL,60276,Banking
60277,Helen Park 60277,Davis60277,Yes,Yes,Rest of North Island,2016-09-10 08:00:00.000,60277,Pharmaceutical Products
60278,Tom 60278,Thomson60278,Yes,Yes,Auckland,2015-10-16 08:00:00.000,60278,Healthcare
60279,Tracy60279,Thomas60279,No,None,South Island,NULL,60279,Shipping Containers
60280,Steven 60280,Williams60280,Yes,No,Auckland,2016-04-14 08:00:00.000,60280,Banking
60281,Tracy60281,Thomas60281,No,None,Rest of North Island,NULL,60281,Banking
60282,Jackie Sales 60282,Taylor60282,No,None,Auckland,NULL,60282,Real Estate
60283,Bella 60283,Smith60283,No,None,Auckland,NULL,60283,Entertainment
60284,John 60284,Dong60284,No,None,Rest of North Island,NULL,60284,Computers
60285,Kelvin 60285,Burn60285,Yes,Yes,Rest of North Island,2016-05-06 08:00:00.000,60285,Computers
60286,Kelvin 60286,Burn60286,Yes,No,Auckland,2016-04-29 08:00:00.000,60286,Real Estate
60287,Helen Park 60287,Davis60287,Yes,Yes,Rest of North Island,2015-03-08 08:00:00.000,60287,Tax Agent
60288,Jackie Sales 60288,Taylor60288,No,None,Auckland,NULL,60288,Pharmaceutical Products
60289,Stephan 60289,Walker60289,No,None,South Island,NULL,60289,Tax Agent
60290,Kelvin 60290,Burn60290,No,None,South Island,NULL,60290,Shipping Containers
60291,Nelson Century 60291,Clark60291,Yes,No,Auckland,2016-10-10 08:00:00.000,60291,Pharmaceutical Products
60292,Nelson Century 60292,Clark60292,Yes,Yes,Auckland,2015-08-27 08:00:00.000,60292,Entertainment
60293,John 60293,Dong60293,No,None,South Island,NULL,60293,Healthcare
60294,Tom 60294,Thomson60294,Yes,No,Rest of North Island,2016-11-05 08:00:00.000,60294,Banking
60295,Steven 60295,Williams60295,No,None,South Island,NULL,60295,Pharmaceutical Products
60296,Jackie Sales 60296,Taylor60296,Yes,No,Auckland,2016-09-18 08:00:00.000,60296,Real Estate
60297,Steven 60297,Williams60297,Yes,Yes,Rest of North Island,2015-09-14 08:00:00.000,60297,Banking
